阶段	算子	重复	组别	模型	状态	性能指标	基线中位数	最终中位数	性能提升(%)	性能样本数	正确性	非缓存Token	输入Token	输出Token	推理Token	缓存读取Token	缓存写入Token	耗时(分钟)	迭代轮数	源码grep次数	源码grep输出(字节)	Wiki非空读取次数	首次源码grep前Wiki读取次数	处理门禁	搜索计划标签
formal	libm_sin_cos_dp	2	D	cannbot/glm-5.3	正式有效	geometric_mean_sin_cos_Mops	159.6881889669651	160.02405536375383	0.2103	7	pass	628022	390778	63915	173329	41589184	0	86.96	3	9	27142	6	6	true	n.a.
formal	libm_sin_cos_dp	3	A	cannbot/glm-5.3	正式有效	geometric_mean_sin_cos_Mops	159.69894109167083	172.6422094264828	8.1048	7	pass	680757	546422	41647	92688	20627584	0	73.27	3	26	50049	0	0	true	n.a.
formal	libm_sin_cos_dp	3	B	cannbot/glm-5.3	正式有效	geometric_mean_sin_cos_Mops	157.8427031566234	160.9512506974574	1.9694	7	pass	390982	246514	31289	113179	22997888	0	87.27	3	6	12010	3	1	true	n.a.
formal	libm_sin_cos_dp	3	C	cannbot/glm-5.3	正式有效	geometric_mean_sin_cos_Mops	160.2140393964963	169.9199023336596	6.0581	7	pass	460325	304248	36786	119291	36482688	0	53.39	3	29	32075	5	3	true	n.a.
formal	libm_sin_cos_dp	3	D	cannbot/glm-5.3	正式有效	geometric_mean_sin_cos_Mops	158.17467406976309	174.38070798595092	10.2457	7	pass	659526	476208	47878	135440	38179968	0	73.49	3	15	17091	2	2	true	n.a.
formal	dftbench_double	1	A	cannbot/glm-5.3	正式有效	SLEEF_ST_Mflops	11123.8	13687.4	23.0461	7	pass	505256	343321	36845	125090	51467264	0	112.28	3	46	21566	0	0	true	n.a.
formal	dftbench_double	1	B	cannbot/glm-5.3	正式有效	SLEEF_ST_Mflops	11054.2	13519.3	22.3001	7	pass	855679	707760	33998	113921	30002624	0	81.46	3	25	47968	4	3	true	n.a.
formal	dftbench_double	1	C	cannbot/glm-5.3	正式有效	SLEEF_ST_Mflops	11157.3	13813	23.8024	7	pass	346537	220990	20318	105229	17592128	0	41.08	3	21	9111	4	2	true	n.a.
formal	dftbench_double	1	D	cannbot/glm-5.3	正式有效	SLEEF_ST_Mflops	11056	14515.9	31.2943	7	pass	980783	816277	29084	135422	29771264	0	82.77	3	16	7741	5	5	true	n.a.
formal	dftbench_double	2	A	cannbot/glm-5.3	正式有效	SLEEF_ST_Mflops	11148	14502.9	30.0942	7	pass	333926	217643	29086	87197	26305216	0	47.09	3	28	11806	0	0	true	n.a.
formal	dftbench_double	2	B	cannbot/glm-5.3	正式有效	SLEEF_ST_Mflops	11159.6	13224.4	18.5025	7	pass	467014	327609	25835	113570	34286848	0	49.69	3	24	89091	4	2	true	n.a.
formal	dftbench_double	2	C	cannbot/glm-5.3	正式有效	SLEEF_ST_Mflops	11081.7	13044.8	17.7148	7	pass	741161	607662	28580	104919	41942720	0	80.06	3	25	10723	4	3	true	n.a.
formal	dftbench_double	2	D	cannbot/glm-5.3	正式有效	SLEEF_ST_Mflops	11150.1	14811.8	32.8401	7	pass	653685	382697	76167	194821	53415424	0	117.17	3	16	20158	5	5	true	n.a.
formal	dftbench_double	3	A	cannbot/glm-5.3	未归档																				n.a.
formal	dftbench_double	3	B	cannbot/glm-5.3	未归档																				n.a.
formal	dftbench_double	3	C	cannbot/glm-5.3	未归档																				n.a.
formal	dftbench_double	3	D	cannbot/glm-5.3	未归档																				n.a.
formal	tlfloat_quad_arithmetic	1	A	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	72.462079307	74.444482549	2.7358	7	pass	439339	313819	20337	105183	12798272	0	61.22	1	7	27030	0	0	true	n.a.
formal	tlfloat_quad_arithmetic	1	B	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	72.540373179	74.929071397	3.2929	7	pass	516102	343629	45968	126505	38870912	0	98.32	3	6	29431	4	3	true	n.a.
formal	tlfloat_quad_arithmetic	1	C	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	72.581960705	84.03540044	15.78	7	pass	613320	384352	53713	175255	40488448	0	80.21	3	9	11165	6	4	true	n.a.
formal	tlfloat_quad_arithmetic	1	D	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	72.517572013	75.002358777	3.4265	7	pass	342350	227372	24826	90152	17443776	0	54.16	3	13	14387	3	3	true	n.a.
formal	tlfloat_quad_arithmetic	2	A	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	72.576059558	78.224608282	7.7829	7	pass	785825	610858	41435	133532	36682240	0	78.62	3	9	11182	0	0	true	n.a.
formal	tlfloat_quad_arithmetic	2	B	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	71.786683365	75.910425948	5.7444	7	pass	763987	476475	64663	222849	53103488	0	120.92	3	6	12038	4	3	true	n.a.
formal	tlfloat_quad_arithmetic	2	C	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	72.565895443	89.157974117	22.8648	7	pass	487120	320981	38447	127692	27652224	0	63.2	3	7	6665	5	3	true	n.a.
formal	tlfloat_quad_arithmetic	2	D	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	72.551885766	75.214149387	3.6695	7	pass	668357	400240	73478	194639	56254528	0	107.58	3	25	11200	3	1	true	n.a.
formal	tlfloat_quad_arithmetic	3	A	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	72.55654787	76.952044252	6.058	7	pass	398278	282884	22206	93188	20671936	0	54.13	3	1	41	0	0	true	n.a.
formal	tlfloat_quad_arithmetic	3	B	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	72.558992503	74.907338089	3.2365	7	pass	436714	289079	36425	111210	21452608	0	70.92	3	5	7539	5	3	true	n.a.
formal	tlfloat_quad_arithmetic	3	C	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	72.00980566	74.995868214	4.1467	7	pass	480594	322175	43545	114874	26168384	0	91.78	3	5	7725	5	3	true	n.a.
formal	tlfloat_quad_arithmetic	3	D	cannbot/glm-5.3	正式有效	geomean_8_arithmetic_Mops_per_second	72.584824452	84.668449436	16.6476	7	pass	430132	290958	43218	95956	35214080	0	89.82	3	14	17619	5	4	true	n.a.
